iter	RMSE
0	3707.009313
1	3413.088996
2	3137.161535
3	2894.158665
4	2668.530276
5	2465.254464
6	2277.12983
7	2104.673031
8	1953.797601
9	1811.932515
10	1684.416522
11	1571.571349
12	1469.992406
13	1377.662308
14	1298.422268
15	1224.385426
16	1158.991533
17	1097.333743
18	1043.648054
19	994.9292008
20	952.2816689
21	914.0232206
22	881.2284733
23	852.7751174
24	825.403373
25	801.8707145
26	780.314188
27	760.8238108
28	743.8713979
29	729.4444748
30	716.6536655
31	705.1035508
32	695.3017412
33	686.8395337
34	678.6708385
35	671.6952842
36	664.8195904
37	658.6988819
38	653.8124182
39	648.7648144
40	644.0840852
41	639.8994344
42	636.6094737
43	632.7347642
44	629.6091648
45	626.4648783
46	624.0547813
47	621.8316163
48	619.609557
49	617.3472066
50	615.4917376
51	613.5956486
52	612.0425435
53	610.7113767
54	609.1213041
55	607.8941049
56	606.5418484
57	605.5175896
58	604.2592885
59	603.4809643
60	602.7327883
61	601.7494271
62	600.7247686
63	599.9269787
64	599.1531744
65	598.4304167
66	597.7601243
67	596.9828323
68	596.4443759
69	595.85999
70	595.4034785
71	594.9468399
72	594.4021494
73	593.9182503
74	593.4866149
75	593.0802026
76	592.4359466
77	591.7681601
78	591.1650025
79	590.70649
80	590.4478674
81	590.1287747
82	589.7122776
83	589.2712286
84	588.9499473
85	588.5295351
86	588.29118
87	587.923205
88	587.6314127
89	587.4078553
90	587.2389849
91	586.8601926
92	586.6498786
93	586.4179502
94	586.0731297
95	585.6791957
96	585.3394909
97	585.1011053
98	584.9299743
99	584.7906715
100	584.5502377
101	584.3831773
102	584.175361
103	583.823321
104	583.6732166
105	583.5276671
106	583.2970448
107	583.1309571
108	582.9552353
109	582.6404271
110	582.3622549
111	582.2706161
112	582.0975311
113	581.9257271
114	581.6677395
115	581.5229814
116	581.3197633
117	581.1595487
118	580.9079664
119	580.814343
120	580.7107123
121	580.5793252
122	580.4228114
123	580.2936221
124	580.0939478
125	579.8762745
126	579.787143
127	579.6626267
128	579.5487683
129	579.3524331
130	579.1348243
131	578.9982576
132	578.876724
133	578.6960965
134	578.4253087
135	578.3421501
136	578.2126854
137	578.0922824
138	577.9544149
139	577.8380854
140	577.7116484
141	577.5944
142	577.4218954
143	577.2618091
144	577.0968732
145	576.9954011
146	576.844161
147	576.7132342
148	576.6431819
149	576.541966
150	576.4560355
151	576.2486807
152	576.1158319
153	575.9769289
154	575.8458571
155	575.788793
156	575.5931602
157	575.4924265
158	575.3696467
159	575.2473097
160	575.125059
161	575.0482987
162	574.8937575
163	574.7736686
164	574.7123023
165	574.5625157
166	574.4589754
167	574.3421126
168	574.1569229
169	574.0444772
170	573.9397879
171	573.8595004
172	573.7419719
173	573.6478871
174	573.5749308
175	573.4410758
176	573.327095
177	573.1954178
178	573.0820627
179	572.9583564
180	572.904766
181	572.8107194
182	572.698891
183	572.6140774
184	572.4760799
185	572.3711335
186	572.307257
187	572.189533
188	572.0754457
189	571.9272453
190	571.8266126
191	571.676232
192	571.5177565
193	571.4004694
194	571.312023
195	571.2087944
196	571.0267229
197	570.9015492
198	570.761794
199	570.6810408
200	570.5355243
201	570.4568091
202	570.3635763
203	570.2607538
204	570.110195
205	569.983315
206	569.9617238
207	569.902796
208	569.818918
209	569.722265
210	569.6240214
211	569.5833197
212	569.475641
213	569.3696622
214	569.2830872
215	569.1858232
216	569.0870777
217	569.0244594
218	568.9453278
219	568.8729135
220	568.7870137
221	568.7054247
222	568.6070196
223	568.4564468
224	568.3573756
225	568.2856588
226	568.1723695
227	568.1206822
228	568.0765765
229	567.9941503
230	567.8725297
231	567.7901948
232	567.7328554
233	567.6694852
234	567.5733111
235	567.4840724
236	567.3605996
237	567.2864276
238	567.1283124
239	567.0566411
240	567.0230569
241	566.9600146
242	566.8336974
243	566.7621114
244	566.6790954
245	566.5604531
246	566.4709713
247	566.3813989
248	566.342472
249	566.2573766
250	566.1975542
251	566.1600129
252	566.1144689
253	566.0376979
254	565.9319532
255	565.7749643
256	565.6790602
257	565.5597394
258	565.4839124
259	565.3941268
260	565.3247564
261	565.2707341
262	565.1820876
263	565.0958795
264	565.0729063
265	564.9535212
266	564.8652421
267	564.7941045
268	564.6912325
269	564.5849912
270	564.4893513
271	564.4464688
272	564.4039315
273	564.2854822
274	564.2014156
275	564.1155821
276	564.056717
277	563.9911897
278	563.9173676
279	563.8611274
280	563.7827329
281	563.7635182
282	563.70589
283	563.7007561
284	563.6775331
285	563.557965
286	563.4950849
287	563.4905273
288	563.4737341
289	563.4041874
290	563.3087746
291	563.2903123
292	563.2201994
293	563.0862937
294	563.0721249
295	562.9605217
296	562.8986406
297	562.8176846
298	562.7418742
299	562.644148
300	562.5063859
301	562.413639
302	562.4011353
303	562.3893708
304	562.3289928
305	562.2227531
306	562.0940171
307	562.0533097
308	562.0350868
309	561.9591456
310	561.8824787
311	561.775394
312	561.7119145
313	561.6689232
314	561.566541
315	561.4658621
316	561.3654946
317	561.3529472
318	561.2913419
319	561.1573657
320	561.0937058
321	561.0174808
322	560.9512968
323	560.8520205
324	560.7761637
325	560.7660804
326	560.6808674
327	560.6703665
328	560.5785366
329	560.5366055
330	560.3888145
331	560.3185442
332	560.2552148
333	560.1094849
334	560.0557346
335	560.0068959
336	559.9630788
337	559.8842817
338	559.8018266
339	559.7136402
340	559.6024746
341	559.522765
342	559.4641609
343	559.3908585
344	559.3280295
345	559.2618655
346	559.1090255
347	559.0474143
348	559.0046751
349	558.9404868
350	558.8730267
351	558.795671
352	558.7352542
353	558.6689842
354	558.6144971
355	558.5238812
356	558.4388607
357	558.3746014
358	558.2724828
359	558.1666367
360	558.1198105
361	558.0126056
362	557.9966877
363	557.9819712
364	557.9260865
365	557.8675898
366	557.8225608
367	557.7811297
368	557.7005461
369	557.6373015
370	557.609201
371	557.5449897
372	557.4512227
373	557.3944763
374	557.3142744
375	557.2484535
376	557.2350491
377	557.1710463
378	557.1171359
379	557.0879463
380	557.0447944
381	556.9533911
382	556.9063508
383	556.8512971
384	556.8206772
385	556.7730023
386	556.7190736
387	556.6694973
388	556.5569989
389	556.4722739
390	556.4213478
391	556.3489496
392	556.3268432
393	556.2229559
394	556.1550826
395	556.1192563
396	556.0840684
397	556.002604
398	555.9500296
399	555.918028
400	555.8600856
401	555.7726637
402	555.7459945
403	555.6090812
404	555.5610596
405	555.4808156
406	555.3984277
407	555.3523062
408	555.316775
409	555.2604135
410	555.2479106
411	555.2060298
412	555.1952074
413	555.1494684
414	555.0687017
415	555.0586259
416	554.9839751
417	554.9390357
418	554.8746625
419	554.7293814
420	554.6959233
421	554.6045596
422	554.5418717
423	554.4872531
424	554.4775266
425	554.428113
426	554.4033976
427	554.3444636
428	554.2840677
429	554.1555733
430	554.1010728
431	554.0067322
432	553.9875407
433	553.9355309
434	553.8529001
435	553.7992792
436	553.7671781
437	553.6672544
438	553.5756618
439	553.5207663
440	553.4672153
441	553.4233412
442	553.3988295
443	553.3429846
444	553.3329864
445	553.3237505
446	553.2231366
447	553.1505784
448	553.085952
449	553.0336254
450	552.989565
451	552.9277681
452	552.8334982
453	552.7676586
454	552.7240469
455	552.6837372
456	552.6221678
457	552.6134649
458	552.5222914
459	552.4741473
460	552.404956
461	552.3523651
462	552.3382923
463	552.2886868
464	552.2444262
465	552.2355497
466	552.1785932
467	552.1605742
468	552.1047702
469	552.0248519
470	551.9999943
471	551.9543533
472	551.8741171
473	551.8057336
474	551.7492793
475	551.7049146
476	551.6349699
477	551.5944926
478	551.5735392
479	551.5161023
480	551.4714294
481	551.4151859
482	551.3761609
483	551.3178611
484	551.2724853
485	551.2424893
486	551.1719153
487	551.0907397
488	551.0164243
489	550.998482
490	550.9514238
491	550.8889665
