iter	Passed	Remaining
0	204	204729
1	243	121343
2	281	93619
3	328	81766
4	365	72713
5	401	66590
6	473	67129
7	545	67640
8	630	69416
9	677	67112
10	709	63752
11	738	60766
12	768	58377
13	799	56324
14	832	54662
15	881	54211
16	928	53666
17	967	52784
18	1006	51943
19	1050	51456
20	1141	53194
21	1212	53893
22	1261	53588
23	1300	52876
24	1333	52015
25	1367	51237
26	1566	56469
27	1940	67348
28	2307	77267
29	2350	75985
30	2403	75119
31	2444	73959
32	2484	72794
33	2526	71793
34	2571	70906
35	2616	70060
36	2658	69200
37	2713	68696
38	2763	68085
39	2816	67604
40	2909	68063
41	2985	68105
42	3064	68207
43	3134	68093
44	3197	67858
45	3245	67306
46	3300	66916
47	3344	66333
48	3384	65682
49	3425	65085
50	3469	64566
51	3519	64154
52	3555	63526
53	3592	62943
54	3632	62415
55	3670	61872
56	3714	61449
57	3751	60932
58	3789	60441
59	3827	59959
60	3877	59680
61	3913	59201
62	3947	58704
63	3981	58222
64	4019	57816
65	4056	57408
66	4094	57023
67	4131	56628
68	4168	56248
69	4207	55894
70	4245	55548
71	4286	55250
72	4325	54925
73	4369	54677
74	4407	54359
75	4446	54061
76	4483	53744
77	4521	53452
78	4561	53176
79	4600	52905
80	4636	52604
81	4671	52293
82	4717	52115
83	4753	51839
84	4799	51665
85	4845	51498
86	4880	51215
87	4915	50946
88	4954	50716
89	4993	50485
90	5040	50347
91	5089	50232
92	5130	50031
93	5166	49794
94	5209	49623
95	5249	49436
96	5288	49229
97	5328	49041
98	5370	48875
99	5406	48662
100	5442	48440
101	5476	48212
102	5516	48043
103	5556	47868
104	5594	47689
105	5633	47510
106	5675	47368
107	5711	47175
108	5749	47001
109	5790	46851
110	5830	46696
111	5874	46572
112	5916	46438
113	5954	46277
114	5996	46145
115	6034	45987
116	6072	45826
117	6106	45640
118	6139	45455
119	6177	45298
120	6214	45141
121	6268	45115
122	6330	45134
123	6373	45026
124	6423	44964
125	6500	45091
126	6539	44955
127	6576	44801
128	6610	44633
129	6642	44450
130	6675	44283
131	6726	44229
132	6761	44077
133	6799	43941
134	6837	43811
135	6870	43648
136	6902	43483
137	6938	43338
138	6966	43153
139	6998	42991
140	7031	42835
141	7069	42713
142	7101	42558
143	7143	42465
144	7186	42375
145	7230	42292
146	7265	42158
147	7312	42095
148	7343	41942
149	7375	41792
150	7405	41635
151	7439	41504
152	7469	41349
153	7506	41234
154	7538	41097
155	7569	40951
156	7600	40812
157	7628	40654
158	7659	40511
159	7688	40367
160	7722	40245
161	7752	40102
162	7785	39976
163	7820	39866
164	7853	39743
165	7885	39616
166	7924	39526
167	7961	39429
168	8001	39345
169	8038	39245
170	8073	39139
171	8108	39034
172	8136	38895
173	8166	38767
174	8193	38626
175	8226	38514
176	8255	38384
177	8279	38235
178	8315	38141
179	8347	38027
180	8379	37917
181	8407	37786
182	8432	37647
183	8461	37525
184	8490	37405
185	8518	37281
186	8545	37151
187	8576	37043
188	8606	36929
189	8631	36798
190	8658	36673
191	8683	36544
192	8717	36450
193	8743	36325
194	8772	36212
195	8805	36119
196	8829	35992
197	8859	35886
198	8887	35773
199	8914	35656
200	8949	35574
201	8973	35448
202	9010	35376
203	9035	35255
204	9061	35140
205	9089	35032
206	9120	34938
207	9150	34842
208	9181	34749
209	9209	34646
210	9240	34554
211	9270	34460
212	9296	34350
213	9319	34230
214	9346	34124
215	9371	34015
216	9397	33908
217	9425	33809
218	9455	33718
219	9481	33617
220	9506	33508
221	9536	33419
222	9563	33321
223	9588	33218
224	9612	33109
225	9637	33005
226	9663	32905
227	9691	32816
228	9718	32719
229	9746	32631
230	9788	32584
231	9824	32522
232	9868	32486
233	9925	32491
234	9965	32440
235	10024	32452
236	10080	32452
237	10137	32456
238	10183	32426
239	10234	32410
240	10279	32373
241	10331	32359
242	10373	32315
243	10427	32309
244	10478	32289
245	10521	32248
246	10563	32204
247	10593	32123
248	10620	32032
249	10646	31939
250	10665	31825
251	10686	31720
252	10716	31640
253	10738	31537
254	10765	31452
255	10791	31362
256	10816	31270
257	10844	31188
258	10867	31091
259	10890	30995
260	10920	30920
261	10943	30825
262	10968	30736
263	10992	30646
264	11017	30558
265	11042	30470
266	11064	30375
267	11090	30291
268	11126	30237
269	11150	30146
270	11175	30062
271	11199	29976
272	11222	29886
273	11247	29802
274	11274	29724
275	11307	29662
276	11411	29785
277	11478	29810
278	11514	29756
279	11558	29721
280	11596	29671
281	11632	29618
282	11658	29537
283	11689	29469
284	11716	29395
285	11744	29321
286	11774	29252
287	11808	29193
288	11836	29120
289	11864	29048
290	11890	28969
291	11923	28911
292	11958	28855
293	11990	28792
294	12021	28728
295	12050	28660
296	12079	28592
297	12117	28544
298	12143	28470
299	12176	28410
300	12203	28339
301	12241	28293
302	12271	28228
303	12304	28171
304	12336	28109
305	12373	28062
306	12402	27996
307	12429	27925
308	12457	27858
309	12479	27776
310	12509	27712
311	12548	27670
312	12583	27619
313	12614	27558
314	12643	27494
315	12748	27595
316	12832	27649
317	12868	27598
318	12899	27537
319	12921	27457
320	12945	27383
321	12971	27312
322	12996	27239
323	13022	27169
324	13049	27102
325	13077	27037
326	13105	26973
327	13136	26914
328	13168	26856
329	13195	26791
330	13222	26725
331	13252	26663
332	13279	26599
333	13305	26530
334	13329	26459
335	13355	26393
336	13379	26323
337	13408	26261
338	13430	26187
339	13455	26118
340	13481	26053
341	13507	25987
342	13532	25921
343	13560	25858
344	13585	25792
345	13610	25726
346	13635	25659
347	13659	25591
348	13686	25530
349	13714	25469
350	13745	25414
351	13770	25350
352	13798	25291
353	13827	25233
354	13856	25175
355	13883	25115
356	13910	25055
357	13951	25019
358	13978	24959
359	14007	24901
360	14036	24845
361	14071	24799
362	14098	24740
363	14128	24685
364	14157	24629
365	14187	24576
366	14218	24523
367	14241	24457
368	14268	24399
369	14296	24342
370	14322	24283
371	14351	24228
372	14375	24164
373	14401	24104
374	14427	24046
375	14453	23987
376	14482	23933
377	14507	23872
378	14532	23812
379	14566	23765
380	14597	23715
381	14629	23667
382	14658	23614
383	14687	23561
384	14714	23505
385	14749	23462
386	14776	23406
387	14804	23351
388	14831	23295
389	14860	23243
390	14889	23190
391	14918	23139
392	14949	23090
393	14978	23037
394	15009	22988
395	15038	22936
396	15065	22883
397	15096	22833
398	15127	22785
399	15157	22736
400	15190	22690
401	15225	22648
402	15253	22596
403	15286	22551
404	15331	22523
405	15364	22479
406	15398	22435
407	15429	22387
408	15455	22332
409	15479	22275
410	15503	22217
411	15528	22162
412	15555	22108
413	15581	22054
414	15607	22000
415	15636	21950
416	15661	21896
417	15682	21835
418	15711	21786
419	15734	21728
420	15754	21666
421	15775	21607
422	15801	21553
423	15824	21497
424	15845	21438
425	15869	21382
426	15889	21322
427	15925	21283
428	15957	21239
429	15988	21193
430	16011	21138
431	16033	21080
432	16055	21023
433	16080	20970
434	16103	20915
435	16124	20858
436	16148	20804
437	16172	20751
438	16195	20695
439	16219	20643
440	16242	20588
441	16263	20532
442	16286	20477
443	16309	20423
444	16329	20366
445	16353	20313
446	16377	20261
